year,month,day,tempavg,DPavg,humidity,SLPavg,visibilityavg,windavg,Rainfall
2012,1,1,23.98,29.16,56.29,1046.83,7.84,14.89,0.0
2012,1,2,29.64,18.09,59.29,980.12,18.2,6.22,0.0
2012,1,3,24.17,12.05,88.91,990.77,5.27,2.7,93.64
2012,1,4,29.35,11.82,94.93,1016.67,11.42,13.27,132.31
2012,1,5,0.75,8.01,51.35,1033.92,6.22,9.67,0.0
2012,1,6,27.44,26.09,49.71,990.95,3.57,14.43,0.0
2012,1,7,10.17,17.51,65.99,997.61,15.08,3.63,141.18
2012,1,8,32.01,23.03,40.15,1013.89,2.02,6.8,0.0
2012,1,9,25.71,0.98,37.05,980.93,10.0,12.15,0.0
2012,1,10,29.57,16.42,76.7,1048.39,16.86,5.09,191.95
2012,1,11,6.34,23.89,91.3,999.69,7.0,5.91,108.2
2012,1,12,9.77,21.07,87.31,1025.82,10.05,7.15,163.78
2012,1,13,23.97,23.12,94.73,1046.84,6.79,12.52,132.92
2012,1,14,24.88,25.72,41.57,1031.03,10.99,9.99,0.0
2012,1,15,21.36,14.79,94.42,1040.98,1.61,5.68,61.92
2012,1,16,7.46,14.56,31.3,983.41,11.72,0.0,0.0
2012,1,17,11.3,1.44,76.2,992.04,6.88,10.65,127.8
2012,1,18,29.2,17.11,40.97,997.51,5.72,8.16,0.0
2012,1,19,6.64,23.48,90.68,1007.73,13.86,8.1,45.21
2012,1,20,12.63,6.24,40.78,1042.92,7.64,2.99,0.0
2012,1,21,33.72,23.94,45.33,1043.81,11.41,11.66,0.0
2012,1,22,22.62,24.26,60.42,989.38,16.48,11.64,122.2
2012,1,23,31.87,8.87,43.56,1004.3,7.89,5.62,0.0
2012,1,24,4.53,18.13,89.13,1034.21,1.73,8.85,32.44
2012,1,25,23.77,26.45,53.81,1012.56,5.88,7.73,0.0
2012,1,26,10.01,24.55,42.74,981.0,1.63,7.48,0.0
2012,1,27,31.77,4.8,57.21,1018.22,5.02,10.69,0.0
2012,1,28,16.86,15.21,97.26,1041.77,4.7,13.58,8.89
2012,1,29,29.66,6.6,47.0,1049.59,3.22,1.36,0.0
2012,1,30,30.17,6.18,67.29,1040.42,17.28,8.94,92.69
2012,1,31,25.64,0.22,43.49,1023.07,6.65,1.25,0.0
2012,2,1,0.83,27.51,79.46,991.96,5.71,11.51,134.54
2012,2,2,34.74,5.52,72.44,1005.42,15.19,2.45,6.25
2012,2,3,20.38,19.58,35.66,1029.18,2.67,5.36,0.0
2012,2,4,5.24,5.13,32.25,1025.36,2.06,2.7,0.0
2012,2,5,2.8,8.71,59.94,1015.15,7.08,7.66,0.0
2012,2,6,22.67,3.61,40.84,995.85,2.26,0.71,0.0
2012,2,7,6.58,15.36,99.0,984.53,2.21,9.13,120.34
2012,2,8,12.22,19.97,71.53,1002.84,6.21,0.25,131.54
2012,2,9,31.93,11.68,86.66,1023.44,3.14,6.29,34.42
2012,2,10,27.31,23.98,48.16,1002.8,6.04,14.81,0.0
2012,2,11,5.93,25.7,49.8,991.33,2.78,9.42,0.0
2012,2,12,7.15,4.08,63.08,1048.55,11.44,4.89,187.84
2012,2,13,4.11,25.14,47.26,1049.94,13.9,0.38,0.0
2012,2,14,0.7,26.7,73.06,1006.01,14.0,2.39,116.6
2012,2,15,22.85,28.75,37.34,1002.66,8.55,7.25,0.0
2012,2,16,28.46,1.9,85.89,984.34,2.39,1.32,161.18
2012,2,17,33.83,6.06,94.37,994.76,11.08,9.68,123.44
2012,2,18,6.35,1.97,97.87,997.09,2.87,3.98,174.3
2012,2,19,17.22,11.54,40.41,1049.03,9.62,13.55,0.0
2012,2,20,10.19,23.2,38.23,1029.63,2.14,0.1,0.0
2012,2,21,25.26,21.53,61.36,983.71,6.01,0.77,88.08
2012,2,22,26.14,29.67,75.11,1009.93,10.88,10.34,111.82
2012,2,23,3.38,14.86,34.62,1006.17,4.13,14.01,0.0
